from;to;polyline;weight
Bueng Kan;Nakhon Phanom;LINESTRING(103.722237352 18.0575482114, 104.319004039 17.4294095463);25.0
Bueng Kan;Nakhon Pathom;LINESTRING(103.722237352 18.0575482114, 100.068033595 13.8876112057);1.0
Nakhon Si Thammarat;Bueng Kan;LINESTRING(99.7073199322 8.51358626995, 103.722237352 18.0575482114);0.0
Nakhon Sawan;Bueng Kan;LINESTRING(99.9869845225 15.6823145632, 103.722237352 18.0575482114);0.0
Narathiwat;Bueng Kan;LINESTRING(101.751727633 6.12680622765, 103.722237352 18.0575482114);0.0
Nakhon Nayok;Bueng Kan;LINESTRING(101.218224714 14.262571957, 103.722237352 18.0575482114);0.0
Phetchaburi;Bueng Kan;LINESTRING(99.6075392745 12.9986537807, 103.722237352 18.0575482114);0.0
Phichit;Bueng Kan;LINESTRING(100.409668319 16.2635958818, 103.722237352 18.0575482114);0.0
Prachuap Khiri Khan;Bueng Kan;LINESTRING(99.5777392025 11.8001333794, 103.722237352 18.0575482114);0.0
Phuket;Bueng Kan;LINESTRING(98.2727379223 7.86370621154, 103.722237352 18.0575482114);0.0
Phatthalung;Bueng Kan;LINESTRING(100.045088379 7.45917876629, 103.722237352 18.0575482114);0.0
Phitsanulok;Bueng Kan;LINESTRING(100.518454781 17.0947359704, 103.722237352 18.0575482114);0.0
Phang Nga;Bueng Kan;LINESTRING(98.1018967416 8.69774345234, 103.722237352 18.0575482114);0.0
Phetchabun;Bueng Kan;LINESTRING(101.242596454 16.3926965851, 103.722237352 18.0575482114);0.0
Phrae;Bueng Kan;LINESTRING(100.012937431 18.2139119856, 103.722237352 18.0575482114);0.0
Prachinburi;Bueng Kan;LINESTRING(101.618777543 14.0445407759, 103.722237352 18.0575482114);0.0
Bueng Kan;Pathum Thani;LINESTRING(103.722237352 18.0575482114, 100.56915304 14.0830923585);7.0
Pattani;Bueng Kan;LINESTRING(101.347821677 6.73989916225, 103.722237352 18.0575482114);0.0
Phayao;Bueng Kan;LINESTRING(100.225624368 19.2180780435, 103.722237352 18.0575482114);0.0
Ratchaburi;Bueng Kan;LINESTRING(99.5857449774 13.5495309307, 103.722237352 18.0575482114);0.0
Bueng Kan;Roi Et;LINESTRING(103.722237352 18.0575482114, 103.828448191 15.9385220182);5.0
Ranong;Bueng Kan;LINESTRING(98.563678981 9.92248571424, 103.722237352 18.0575482114);0.0
Rayong;Bueng Kan;LINESTRING(101.343222133 12.8409659694, 103.722237352 18.0575482114);0.0
Sing Buri;Bueng Kan;LINESTRING(100.320977667 14.8716158255, 103.722237352 18.0575482114);0.0
Songkhla;Bueng Kan;LINESTRING(100.548759187 6.94884143693, 103.722237352 18.0575482114);0.0
Samut Songkhram;Bueng Kan;LINESTRING(99.9367402385 13.3593198916, 103.722237352 18.0575482114);0.0
Bueng Kan;Samut Sakhon;LINESTRING(103.722237352 18.0575482114, 100.177263278 13.5962888145);1.0
Sa Kaeo;Bueng Kan;LINESTRING(102.332311439 13.6777234283, 103.722237352 18.0575482114);0.0
Surat Thani;Bueng Kan;LINESTRING(99.099159387 9.13381321812, 103.722237352 18.0575482114);0.0
Bueng Kan;Sakon Nakhon;LINESTRING(103.722237352 18.0575482114, 103.822703129 17.5131235152);40.0
Suphan Buri;Bueng Kan;LINESTRING(99.8038953973 14.648468015, 103.722237352 18.0575482114);0.0
Samut Prakan;Bueng Kan;LINESTRING(100.622262423 13.5941395905, 103.722237352 18.0575482114);0.0
Bueng Kan;Saraburi;LINESTRING(103.722237352 18.0575482114, 101.026016661 14.6689938567);3.0
Bueng Kan;Surin;LINESTRING(103.722237352 18.0575482114, 103.655766949 14.9277736873);1.0
Bueng Kan;Sisaket;LINESTRING(103.722237352 18.0575482114, 104.40982653 14.9516411754);3.0
Bueng Kan;Sukhothai;LINESTRING(103.722237352 18.0575482114, 99.7963503647 17.3641392291);1.0
Satun;Bueng Kan;LINESTRING(99.5703559981 6.7318170405, 103.722237352 18.0575482114);0.0
Bueng Kan;Tak;LINESTRING(103.722237352 18.0575482114, 98.6551659992 16.6465147647);1.0
