from;to;polyline;weight
Phra Nakhon Si Ayutthaya;Nakhon Phanom;LINESTRING(100.514170724 14.4207801749, 104.319004039 17.4294095463);0.00635534678088
Phra Nakhon Si Ayutthaya;Nakhon Pathom;LINESTRING(100.514170724 14.4207801749, 100.068033595 13.8876112057);0.0659750127859
Phra Nakhon Si Ayutthaya;Nakhon Si Thammarat;LINESTRING(100.514170724 14.4207801749, 99.7073199322 8.51358626995);0.00603621730382
Phra Nakhon Si Ayutthaya;Nakhon Sawan;LINESTRING(100.514170724 14.4207801749, 99.9869845225 15.6823145632);0.0516082573212
Phra Nakhon Si Ayutthaya;Narathiwat;LINESTRING(100.514170724 14.4207801749, 101.751727633 6.12680622765);0.00122083559414
Phra Nakhon Si Ayutthaya;Nakhon Nayok;LINESTRING(100.514170724 14.4207801749, 101.218224714 14.262571957);0.043483262395
Phra Nakhon Si Ayutthaya;Phetchaburi;LINESTRING(100.514170724 14.4207801749, 99.6075392745 12.9986537807);0.0564652261985
Phra Nakhon Si Ayutthaya;Phichit;LINESTRING(100.514170724 14.4207801749, 100.409668319 16.2635958818);0.0152447552448
Phra Nakhon Si Ayutthaya;Prachuap Khiri Khan;LINESTRING(100.514170724 14.4207801749, 99.5777392025 11.8001333794);0.0620425815037
Phra Nakhon Si Ayutthaya;Phuket;LINESTRING(100.514170724 14.4207801749, 98.2727379223 7.86370621154);0.0140160717623
Phra Nakhon Si Ayutthaya;Phatthalung;LINESTRING(100.514170724 14.4207801749, 100.045088379 7.45917876629);0.00143513203215
Phra Nakhon Si Ayutthaya;Phitsanulok;LINESTRING(100.514170724 14.4207801749, 100.518454781 17.0947359704);0.0360349988487
Phra Nakhon Si Ayutthaya;Phang Nga;LINESTRING(100.514170724 14.4207801749, 98.1018967416 8.69774345234);0.0071754729289
Phra Nakhon Si Ayutthaya;Phetchabun;LINESTRING(100.514170724 14.4207801749, 101.242596454 16.3926965851);0.0266744321491
Phra Nakhon Si Ayutthaya;Phrae;LINESTRING(100.514170724 14.4207801749, 100.012937431 18.2139119856);0.0193431130728
Phra Nakhon Si Ayutthaya;Prachinburi;LINESTRING(100.514170724 14.4207801749, 101.618777543 14.0445407759);0.0177674777907
Phra Nakhon Si Ayutthaya;Pathum Thani;LINESTRING(100.514170724 14.4207801749, 100.56915304 14.0830923585);0.137567288348
Phra Nakhon Si Ayutthaya;Pattani;LINESTRING(100.514170724 14.4207801749, 101.347821677 6.73989916225);0.00100300902708
Phra Nakhon Si Ayutthaya;Phayao;LINESTRING(100.514170724 14.4207801749, 100.225624368 19.2180780435);0.0131444614599
Phra Nakhon Si Ayutthaya;Ratchaburi;LINESTRING(100.514170724 14.4207801749, 99.5857449774 13.5495309307);0.0356325271225
Phra Nakhon Si Ayutthaya;Roi Et;LINESTRING(100.514170724 14.4207801749, 103.828448191 15.9385220182);0.0128816179312
Phra Nakhon Si Ayutthaya;Ranong;LINESTRING(100.514170724 14.4207801749, 98.563678981 9.92248571424);0.00220588235294
Phra Nakhon Si Ayutthaya;Rayong;LINESTRING(100.514170724 14.4207801749, 101.343222133 12.8409659694);0.0460143198091
Phra Nakhon Si Ayutthaya;Sing Buri;LINESTRING(100.514170724 14.4207801749, 100.320977667 14.8716158255);0.058872305141
Phra Nakhon Si Ayutthaya;Songkhla;LINESTRING(100.514170724 14.4207801749, 100.548759187 6.94884143693);0.00829124178023
Phra Nakhon Si Ayutthaya;Samut Songkhram;LINESTRING(100.514170724 14.4207801749, 99.9367402385 13.3593198916);0.0402607800526
Phra Nakhon Si Ayutthaya;Samut Sakhon;LINESTRING(100.514170724 14.4207801749, 100.177263278 13.5962888145);0.0483209575529
Phra Nakhon Si Ayutthaya;Sa Kaeo;LINESTRING(100.514170724 14.4207801749, 102.332311439 13.6777234283);0.0105453031775
Phra Nakhon Si Ayutthaya;Surat Thani;LINESTRING(100.514170724 14.4207801749, 99.099159387 9.13381321812);0.0150267141585
Phra Nakhon Si Ayutthaya;Sakon Nakhon;LINESTRING(100.514170724 14.4207801749, 103.822703129 17.5131235152);0.00337929170046
Phra Nakhon Si Ayutthaya;Suphan Buri;LINESTRING(100.514170724 14.4207801749, 99.8038953973 14.648468015);0.0511796733212
Phra Nakhon Si Ayutthaya;Samut Prakan;LINESTRING(100.514170724 14.4207801749, 100.622262423 13.5941395905);0.0803088446068
Phra Nakhon Si Ayutthaya;Saraburi;LINESTRING(100.514170724 14.4207801749, 101.026016661 14.6689938567);0.0913557141186
Phra Nakhon Si Ayutthaya;Surin;LINESTRING(100.514170724 14.4207801749, 103.655766949 14.9277736873);0.0110459566344
Phra Nakhon Si Ayutthaya;Sisaket;LINESTRING(100.514170724 14.4207801749, 104.40982653 14.9516411754);0.00764767932489
Phra Nakhon Si Ayutthaya;Sukhothai;LINESTRING(100.514170724 14.4207801749, 99.7963503647 17.3641392291);0.0128046261875
Phra Nakhon Si Ayutthaya;Satun;LINESTRING(100.514170724 14.4207801749, 99.5703559981 6.7318170405);0.00386954118297
Phra Nakhon Si Ayutthaya;Tak;LINESTRING(100.514170724 14.4207801749, 98.6551659992 16.6465147647);0.0170362358031
Phra Nakhon Si Ayutthaya;Trang;LINESTRING(100.514170724 14.4207801749, 99.3599859433 7.48356217488);0.0041934582052
Phra Nakhon Si Ayutthaya;Trat;LINESTRING(100.514170724 14.4207801749, 102.503195011 12.1382302437);0.0132501948558
Phra Nakhon Si Ayutthaya;Ubon Ratchathani;LINESTRING(100.514170724 14.4207801749, 104.950118622 15.2036640615);0.013536742587
Phra Nakhon Si Ayutthaya;Udon Thani;LINESTRING(100.514170724 14.4207801749, 102.840541098 17.512721051);0.0140317052271
Phra Nakhon Si Ayutthaya;Uttaradit;LINESTRING(100.514170724 14.4207801749, 100.431418199 17.7260698659);0.0148903901834
Phra Nakhon Si Ayutthaya;Uthai Thani;LINESTRING(100.514170724 14.4207801749, 99.5807809841 15.3329804403);0.0150107219442
Phra Nakhon Si Ayutthaya;Yala;LINESTRING(100.514170724 14.4207801749, 101.188657942 6.16406279095);0.00158661474109
