uid;polyline;isLeafNode;value
1736;LINESTRING(104.043081903 15.0694041396, 103.985065544 15.0694041396, 103.985065544 15.0113877807, 104.043081903 15.0113877807, 104.043081903 15.0694041396);True;{0.6153846153846154: 'Sisaket'}
1737;LINESTRING(103.927049185 15.1274204985, 103.811016467 15.1274204985, 103.811016467 15.0113877807, 103.927049185 15.0113877807, 103.927049185 15.1274204985);True;{1.0: 'Surin'}
1739;LINESTRING(103.927049185 15.0113877807, 103.869032826 15.0113877807, 103.869032826 14.9533714218, 103.927049185 14.9533714218, 103.927049185 15.0113877807);True;{1.0: 'Surin'}
1740;LINESTRING(103.869032826 15.0113877807, 103.811016467 15.0113877807, 103.811016467 14.9533714218, 103.869032826 14.9533714218, 103.869032826 15.0113877807);True;{1.0: 'Surin'}
1741;LINESTRING(103.869032826 14.9533714218, 103.811016467 14.9533714218, 103.811016467 14.895355063, 103.869032826 14.895355063, 103.869032826 14.9533714218);True;{1.0: 'Surin'}
1742;LINESTRING(103.927049185 14.9533714218, 103.869032826 14.9533714218, 103.869032826 14.895355063, 103.927049185 14.895355063, 103.927049185 14.9533714218);True;{0.9230769230769231: 'Surin', 0.07692307692307693: 'Sisaket'}
1744;LINESTRING(104.043081903 15.0113877807, 103.985065544 15.0113877807, 103.985065544 14.9533714218, 104.043081903 14.9533714218, 104.043081903 15.0113877807);True;{0.9230769230769231: 'Sisaket'}
1745;LINESTRING(103.985065544 15.0113877807, 103.927049185 15.0113877807, 103.927049185 14.9533714218, 103.985065544 14.9533714218, 103.985065544 15.0113877807);True;{0.7692307692307693: 'Surin', 0.23076923076923078: 'Sisaket'}
1746;LINESTRING(103.985065544 14.9533714218, 103.927049185 14.9533714218, 103.927049185 14.895355063, 103.985065544 14.895355063, 103.985065544 14.9533714218);True;{0.6923076923076923: 'Sisaket', 0.3076923076923077: 'Surin'}
1747;LINESTRING(104.043081903 14.9533714218, 103.985065544 14.9533714218, 103.985065544 14.895355063, 104.043081903 14.895355063, 104.043081903 14.9533714218);True;{1.0: 'Sisaket'}
1748;LINESTRING(104.275147338 15.1274204985, 104.043081903 15.1274204985, 104.043081903 14.895355063, 104.275147338 14.895355063, 104.275147338 15.1274204985);True;{1.0: 'Sisaket'}
1751;LINESTRING(105.203409081 15.8236168051, 104.971343645 15.8236168051, 104.971343645 15.5915513695, 105.203409081 15.5915513695, 105.203409081 15.8236168051);True;{1.0: 'UbonRatchathani'}
1754;LINESTRING(104.971343645 15.8236168051, 104.913327286 15.8236168051, 104.913327286 15.7656004462, 104.971343645 15.7656004462, 104.971343645 15.8236168051);True;{0.38461538461538464: 'UbonRatchathani', 0.6153846153846154: 'AmnajCharoen'}
1755;LINESTRING(104.913327286 15.8236168051, 104.855310927 15.8236168051, 104.855310927 15.7656004462, 104.913327286 15.7656004462, 104.913327286 15.8236168051);True;{1.0: 'AmnajCharoen'}
1756;LINESTRING(104.913327286 15.7656004462, 104.855310927 15.7656004462, 104.855310927 15.7075840873, 104.913327286 15.7075840873, 104.913327286 15.7656004462);True;{0.8461538461538461: 'AmnajCharoen', 0.15384615384615385: 'UbonRatchathani'}
1757;LINESTRING(104.971343645 15.7656004462, 104.913327286 15.7656004462, 104.913327286 15.7075840873, 104.971343645 15.7075840873, 104.971343645 15.7656004462);True;{0.9230769230769231: 'UbonRatchathani', 0.07692307692307693: 'AmnajCharoen'}
1758;LINESTRING(104.855310927 15.8236168051, 104.73927821 15.8236168051, 104.73927821 15.7075840873, 104.855310927 15.7075840873, 104.855310927 15.8236168051);True;{1.0: 'AmnajCharoen'}
1760;LINESTRING(104.855310927 15.7075840873, 104.797294568 15.7075840873, 104.797294568 15.6495677284, 104.855310927 15.6495677284, 104.855310927 15.7075840873);True;{1.0: 'AmnajCharoen'}
1761;LINESTRING(104.797294568 15.7075840873, 104.73927821 15.7075840873, 104.73927821 15.6495677284, 104.797294568 15.6495677284, 104.797294568 15.7075840873);True;{0.9230769230769231: 'AmnajCharoen', 0.07692307692307693: 'UbonRatchathani'}
1762;LINESTRING(104.797294568 15.6495677284, 104.73927821 15.6495677284, 104.73927821 15.5915513695, 104.797294568 15.5915513695, 104.797294568 15.6495677284);True;{0.6923076923076923: 'UbonRatchathani', 0.3076923076923077: 'AmnajCharoen'}
1763;LINESTRING(104.855310927 15.6495677284, 104.797294568 15.6495677284, 104.797294568 15.5915513695, 104.855310927 15.5915513695, 104.855310927 15.6495677284);True;{0.9230769230769231: 'AmnajCharoen', 0.07692307692307693: 'UbonRatchathani'}
1765;LINESTRING(104.971343645 15.7075840873, 104.913327286 15.7075840873, 104.913327286 15.6495677284, 104.971343645 15.6495677284, 104.971343645 15.7075840873);True;{1.0: 'UbonRatchathani'}
1766;LINESTRING(104.913327286 15.7075840873, 104.855310927 15.7075840873, 104.855310927 15.6495677284, 104.913327286 15.6495677284, 104.913327286 15.7075840873);True;{0.38461538461538464: 'UbonRatchathani', 0.6153846153846154: 'AmnajCharoen'}
1767;LINESTRING(104.913327286 15.6495677284, 104.855310927 15.6495677284, 104.855310927 15.5915513695, 104.913327286 15.5915513695, 104.913327286 15.6495677284);True;{0.8461538461538461: 'AmnajCharoen', 0.15384615384615385: 'UbonRatchathani'}
1768;LINESTRING(104.971343645 15.6495677284, 104.913327286 15.6495677284, 104.913327286 15.5915513695, 104.971343645 15.5915513695, 104.971343645 15.6495677284);True;{0.8461538461538461: 'UbonRatchathani', 0.15384615384615385: 'AmnajCharoen'}
1771;LINESTRING(104.971343645 15.5915513695, 104.913327286 15.5915513695, 104.913327286 15.5335350107, 104.971343645 15.5335350107, 104.971343645 15.5915513695);True;{1.0: 'UbonRatchathani'}
1772;LINESTRING(104.913327286 15.5915513695, 104.855310927 15.5915513695, 104.855310927 15.5335350107, 104.913327286 15.5335350107, 104.913327286 15.5915513695);True;{0.6923076923076923: 'UbonRatchathani'}
1773;LINESTRING(104.913327286 15.5335350107, 104.855310927 15.5335350107, 104.855310927 15.4755186518, 104.913327286 15.4755186518, 104.913327286 15.5335350107);True;{1.0: 'UbonRatchathani'}
1774;LINESTRING(104.971343645 15.5335350107, 104.913327286 15.5335350107, 104.913327286 15.4755186518, 104.971343645 15.4755186518, 104.971343645 15.5335350107);True;{1.0: 'UbonRatchathani'}
1776;LINESTRING(104.855310927 15.5915513695, 104.797294568 15.5915513695, 104.797294568 15.5335350107, 104.855310927 15.5335350107, 104.855310927 15.5915513695);True;{0.8461538461538461: 'UbonRatchathani'}
1777;LINESTRING(104.797294568 15.5915513695, 104.73927821 15.5915513695, 104.73927821 15.5335350107, 104.797294568 15.5335350107, 104.797294568 15.5915513695);True;{1.0: 'UbonRatchathani'}
1778;LINESTRING(104.797294568 15.5335350107, 104.73927821 15.5335350107, 104.73927821 15.4755186518, 104.797294568 15.4755186518, 104.797294568 15.5335350107);True;{1.0: 'UbonRatchathani'}
1779;LINESTRING(104.855310927 15.5335350107, 104.797294568 15.5335350107, 104.797294568 15.4755186518, 104.855310927 15.4755186518, 104.855310927 15.5335350107);True;{1.0: 'UbonRatchathani'}
1780;LINESTRING(104.855310927 15.4755186518, 104.73927821 15.4755186518, 104.73927821 15.359485934, 104.855310927 15.359485934, 104.855310927 15.4755186518);True;{1.0: 'UbonRatchathani'}
1781;LINESTRING(104.971343645 15.4755186518, 104.855310927 15.4755186518, 104.855310927 15.359485934, 104.971343645 15.359485934, 104.971343645 15.4755186518);True;{1.0: 'UbonRatchathani'}
1782;LINESTRING(105.203409081 15.5915513695, 104.971343645 15.5915513695, 104.971343645 15.359485934, 105.203409081 15.359485934, 105.203409081 15.5915513695);True;{1.0: 'UbonRatchathani'}
1785;LINESTRING(104.73927821 15.8236168051, 104.623245492 15.8236168051, 104.623245492 15.7075840873, 104.73927821 15.7075840873, 104.73927821 15.8236168051);True;{1.0: 'AmnajCharoen'}
1786;LINESTRING(104.623245492 15.8236168051, 104.507212774 15.8236168051, 104.507212774 15.7075840873, 104.623245492 15.7075840873, 104.623245492 15.8236168051);True;{1.0: 'AmnajCharoen'}
1788;LINESTRING(104.623245492 15.7075840873, 104.565229133 15.7075840873, 104.565229133 15.6495677284, 104.623245492 15.6495677284, 104.623245492 15.7075840873);True;{0.9230769230769231: 'AmnajCharoen', 0.07692307692307693: 'UbonRatchathani'}
1789;LINESTRING(104.565229133 15.7075840873, 104.507212774 15.7075840873, 104.507212774 15.6495677284, 104.565229133 15.6495677284, 104.565229133 15.7075840873);True;{1.0: 'AmnajCharoen'}
1790;LINESTRING(104.565229133 15.6495677284, 104.507212774 15.6495677284, 104.507212774 15.5915513695, 104.565229133 15.5915513695, 104.565229133 15.6495677284);True;{1.0: 'AmnajCharoen'}
1791;LINESTRING(104.623245492 15.6495677284, 104.565229133 15.6495677284, 104.565229133 15.5915513695, 104.623245492 15.5915513695, 104.623245492 15.6495677284);True;{0.6923076923076923: 'AmnajCharoen', 0.3076923076923077: 'UbonRatchathani'}
1793;LINESTRING(104.73927821 15.7075840873, 104.681261851 15.7075840873, 104.681261851 15.6495677284, 104.73927821 15.6495677284, 104.73927821 15.7075840873);True;{0.7692307692307693: 'AmnajCharoen', 0.23076923076923078: 'UbonRatchathani'}
1794;LINESTRING(104.681261851 15.7075840873, 104.623245492 15.7075840873, 104.623245492 15.6495677284, 104.681261851 15.6495677284, 104.681261851 15.7075840873);True;{0.38461538461538464: 'UbonRatchathani', 0.6153846153846154: 'AmnajCharoen'}
1795;LINESTRING(104.681261851 15.6495677284, 104.623245492 15.6495677284, 104.623245492 15.5915513695, 104.681261851 15.5915513695, 104.681261851 15.6495677284);True;{0.9230769230769231: 'UbonRatchathani', 0.07692307692307693: 'AmnajCharoen'}
1796;LINESTRING(104.73927821 15.6495677284, 104.681261851 15.6495677284, 104.681261851 15.5915513695, 104.73927821 15.5915513695, 104.73927821 15.6495677284);True;{1.0: 'UbonRatchathani'}
1799;LINESTRING(104.507212774 15.8236168051, 104.449196415 15.8236168051, 104.449196415 15.7656004462, 104.507212774 15.7656004462, 104.507212774 15.8236168051);True;{1.0: 'AmnajCharoen'}
1800;LINESTRING(104.449196415 15.8236168051, 104.391180056 15.8236168051, 104.391180056 15.7656004462, 104.449196415 15.7656004462, 104.449196415 15.8236168051);True;{0.6923076923076923: 'Yasothon', 0.3076923076923077: 'AmnajCharoen'}
1801;LINESTRING(104.449196415 15.7656004462, 104.391180056 15.7656004462, 104.391180056 15.7075840873, 104.449196415 15.7075840873, 104.449196415 15.7656004462);True;{0.38461538461538464: 'AmnajCharoen', 0.6153846153846154: 'Yasothon'}
1802;LINESTRING(104.507212774 15.7656004462, 104.449196415 15.7656004462, 104.449196415 15.7075840873, 104.507212774 15.7075840873, 104.507212774 15.7656004462);True;{1.0: 'AmnajCharoen'}
1803;LINESTRING(104.391180056 15.8236168051, 104.275147338 15.8236168051, 104.275147338 15.7075840873, 104.391180056 15.7075840873, 104.391180056 15.8236168051);True;{1.0: 'Yasothon'}
1804;LINESTRING(104.391180056 15.7075840873, 104.275147338 15.7075840873, 104.275147338 15.5915513695, 104.391180056 15.5915513695, 104.391180056 15.7075840873);True;{1.0: 'Yasothon'}
1806;LINESTRING(104.507212774 15.7075840873, 104.449196415 15.7075840873, 104.449196415 15.6495677284, 104.507212774 15.6495677284, 104.507212774 15.7075840873);True;{1.0: 'AmnajCharoen'}
1807;LINESTRING(104.449196415 15.7075840873, 104.391180056 15.7075840873, 104.391180056 15.6495677284, 104.449196415 15.6495677284, 104.449196415 15.7075840873);True;{0.7692307692307693: 'Yasothon', 0.23076923076923078: 'AmnajCharoen'}
1808;LINESTRING(104.449196415 15.6495677284, 104.391180056 15.6495677284, 104.391180056 15.5915513695, 104.449196415 15.5915513695, 104.449196415 15.6495677284);True;{0.8461538461538461: 'Yasothon', 0.15384615384615385: 'AmnajCharoen'}
1809;LINESTRING(104.507212774 15.6495677284, 104.449196415 15.6495677284, 104.449196415 15.5915513695, 104.507212774 15.5915513695, 104.507212774 15.6495677284);True;{0.9230769230769231: 'AmnajCharoen', 0.07692307692307693: 'Yasothon'}
1812;LINESTRING(104.507212774 15.5915513695, 104.449196415 15.5915513695, 104.449196415 15.5335350107, 104.507212774 15.5335350107, 104.507212774 15.5915513695);True;{0.5384615384615384: 'Yasothon', 0.3076923076923077: 'UbonRatchathani'}
1813;LINESTRING(104.449196415 15.5915513695, 104.391180056 15.5915513695, 104.391180056 15.5335350107, 104.449196415 15.5335350107, 104.449196415 15.5915513695);True;{0.7692307692307693: 'Yasothon', 0.23076923076923078: 'UbonRatchathani'}
1814;LINESTRING(104.449196415 15.5335350107, 104.391180056 15.5335350107, 104.391180056 15.4755186518, 104.449196415 15.4755186518, 104.449196415 15.5335350107);True;{1.0: 'UbonRatchathani'}
1815;LINESTRING(104.507212774 15.5335350107, 104.449196415 15.5335350107, 104.449196415 15.4755186518, 104.507212774 15.4755186518, 104.507212774 15.5335350107);True;{1.0: 'UbonRatchathani'}
1817;LINESTRING(104.391180056 15.5915513695, 104.333163697 15.5915513695, 104.333163697 15.5335350107, 104.391180056 15.5335350107, 104.391180056 15.5915513695);True;{0.9230769230769231: 'Yasothon', 0.07692307692307693: 'UbonRatchathani'}
1818;LINESTRING(104.333163697 15.5915513695, 104.275147338 15.5915513695, 104.275147338 15.5335350107, 104.333163697 15.5335350107, 104.333163697 15.5915513695);True;{1.0: 'Yasothon'}
1819;LINESTRING(104.333163697 15.5335350107, 104.275147338 15.5335350107, 104.275147338 15.4755186518, 104.333163697 15.4755186518, 104.333163697 15.5335350107);True;{1.0: 'Yasothon'}
1820;LINESTRING(104.391180056 15.5335350107, 104.333163697 15.5335350107, 104.333163697 15.4755186518, 104.391180056 15.4755186518, 104.391180056 15.5335350107);True;{0.7692307692307693: 'Yasothon', 0.23076923076923078: 'UbonRatchathani'}
1822;LINESTRING(104.391180056 15.4755186518, 104.333163697 15.4755186518, 104.333163697 15.4175022929, 104.391180056 15.4175022929, 104.391180056 15.4755186518);True;{0.6923076923076923: 'Yasothon', 0.3076923076923077: 'UbonRatchathani'}
1823;LINESTRING(104.333163697 15.4755186518, 104.275147338 15.4755186518, 104.275147338 15.4175022929, 104.333163697 15.4175022929, 104.333163697 15.4755186518);True;{1.0: 'Yasothon'}
1824;LINESTRING(104.333163697 15.4175022929, 104.275147338 15.4175022929, 104.275147338 15.359485934, 104.333163697 15.359485934, 104.333163697 15.4175022929);True;{0.9230769230769231: 'Yasothon', 0.07692307692307693: 'Sisaket'}
1825;LINESTRING(104.391180056 15.4175022929, 104.333163697 15.4175022929, 104.333163697 15.359485934, 104.391180056 15.359485934, 104.391180056 15.4175022929);True;{0.8461538461538461: 'Yasothon', 0.15384615384615385: 'UbonRatchathani'}
1827;LINESTRING(104.507212774 15.4755186518, 104.449196415 15.4755186518, 104.449196415 15.4175022929, 104.507212774 15.4175022929, 104.507212774 15.4755186518);True;{1.0: 'UbonRatchathani'}
1828;LINESTRING(104.449196415 15.4755186518, 104.391180056 15.4755186518, 104.391180056 15.4175022929, 104.449196415 15.4175022929, 104.449196415 15.4755186518);True;{1.0: 'UbonRatchathani'}
1829;LINESTRING(104.449196415 15.4175022929, 104.391180056 15.4175022929, 104.391180056 15.359485934, 104.449196415 15.359485934, 104.449196415 15.4175022929);True;{0.6923076923076923: 'UbonRatchathani', 0.3076923076923077: 'Yasothon'}
1830;LINESTRING(104.507212774 15.4175022929, 104.449196415 15.4175022929, 104.449196415 15.359485934, 104.507212774 15.359485934, 104.507212774 15.4175022929);True;{1.0: 'UbonRatchathani'}
1832;LINESTRING(104.73927821 15.5915513695, 104.623245492 15.5915513695, 104.623245492 15.4755186518, 104.73927821 15.4755186518, 104.73927821 15.5915513695);True;{1.0: 'UbonRatchathani'}
1834;LINESTRING(104.623245492 15.5915513695, 104.565229133 15.5915513695, 104.565229133 15.5335350107, 104.623245492 15.5335350107, 104.623245492 15.5915513695);True;{0.7692307692307693: 'UbonRatchathani'}
1835;LINESTRING(104.565229133 15.5915513695, 104.507212774 15.5915513695, 104.507212774 15.5335350107, 104.565229133 15.5335350107, 104.565229133 15.5915513695);True;{0.38461538461538464: 'UbonRatchathani', 0.07692307692307693: 'Yasothon'}
1836;LINESTRING(104.565229133 15.5335350107, 104.507212774 15.5335350107, 104.507212774 15.4755186518, 104.565229133 15.4755186518, 104.565229133 15.5335350107);True;{1.0: 'UbonRatchathani'}
1837;LINESTRING(104.623245492 15.5335350107, 104.565229133 15.5335350107, 104.565229133 15.4755186518, 104.623245492 15.4755186518, 104.623245492 15.5335350107);True;{1.0: 'UbonRatchathani'}
1838;LINESTRING(104.623245492 15.4755186518, 104.507212774 15.4755186518, 104.507212774 15.359485934, 104.623245492 15.359485934, 104.623245492 15.4755186518);True;{1.0: 'UbonRatchathani'}
1839;LINESTRING(104.73927821 15.4755186518, 104.623245492 15.4755186518, 104.623245492 15.359485934, 104.73927821 15.359485934, 104.73927821 15.4755186518);True;{1.0: 'UbonRatchathani'}
1843;LINESTRING(104.73927821 15.359485934, 104.681261851 15.359485934, 104.681261851 15.3014695751, 104.73927821 15.3014695751, 104.73927821 15.359485934);True;{1.0: 'UbonRatchathani'}
1844;LINESTRING(104.681261851 15.359485934, 104.623245492 15.359485934, 104.623245492 15.3014695751, 104.681261851 15.3014695751, 104.681261851 15.359485934);True;{1.0: 'UbonRatchathani'}
1845;LINESTRING(104.681261851 15.3014695751, 104.623245492 15.3014695751, 104.623245492 15.2434532163, 104.681261851 15.2434532163, 104.681261851 15.3014695751);True;{0.9230769230769231: 'UbonRatchathani', 0.07692307692307693: 'Sisaket'}
1846;LINESTRING(104.73927821 15.3014695751, 104.681261851 15.3014695751, 104.681261851 15.2434532163, 104.73927821 15.2434532163, 104.73927821 15.3014695751);True;{1.0: 'UbonRatchathani'}
1848;LINESTRING(104.623245492 15.359485934, 104.565229133 15.359485934, 104.565229133 15.3014695751, 104.623245492 15.3014695751, 104.623245492 15.359485934);True;{1.0: 'UbonRatchathani'}
1849;LINESTRING(104.565229133 15.359485934, 104.507212774 15.359485934, 104.507212774 15.3014695751, 104.565229133 15.3014695751, 104.565229133 15.359485934);True;{1.0: 'UbonRatchathani'}
1850;LINESTRING(104.565229133 15.3014695751, 104.507212774 15.3014695751, 104.507212774 15.2434532163, 104.565229133 15.2434532163, 104.565229133 15.3014695751);True;{0.7692307692307693: 'UbonRatchathani', 0.23076923076923078: 'Sisaket'}
1851;LINESTRING(104.623245492 15.3014695751, 104.565229133 15.3014695751, 104.565229133 15.2434532163, 104.623245492 15.2434532163, 104.623245492 15.3014695751);True;{0.6923076923076923: 'UbonRatchathani', 0.3076923076923077: 'Sisaket'}
1852;LINESTRING(104.623245492 15.2434532163, 104.507212774 15.2434532163, 104.507212774 15.1274204985, 104.623245492 15.1274204985, 104.623245492 15.2434532163);True;{1.0: 'Sisaket'}
1854;LINESTRING(104.73927821 15.2434532163, 104.681261851 15.2434532163, 104.681261851 15.1854368574, 104.73927821 15.1854368574, 104.73927821 15.2434532163);True;{0.6923076923076923: 'UbonRatchathani', 0.3076923076923077: 'Sisaket'}
1855;LINESTRING(104.681261851 15.2434532163, 104.623245492 15.2434532163, 104.623245492 15.1854368574, 104.681261851 15.1854368574, 104.681261851 15.2434532163);True;{0.8461538461538461: 'Sisaket', 0.15384615384615385: 'UbonRatchathani'}
