,Amnat Charoen,Ang Thong,Phra Nakhon Si Ayutthaya,Bangkok,Bueng Kan,Buriram,Chonburi,Chachoengsao,Chiang Mai,Chai Nat,Chaiyaphum,Chumphon,Chiang Rai,Chanthaburi,Krabi,Khon Kaen,Kamphaeng Phet,Kanchanaburi,Kalasin,Loei Province,Lampang,Lamphun,Lopburi Province,Mukdahan,Maha Sarakham,Mae Hong Son,Nan,Nonthaburi,Nong Bua Lam Phu,Nong Khai,Nakhon Ratchasima,Nakhon Phanom,Nakhon Pathom,Nakhon Si Thammarat,Nakhon Sawan,Narathiwat,Nakhon Nayok,Phetchaburi,Phichit,Prachuap Khiri Khan,Phuket,Phatthalung,Phitsanulok,Phang Nga,Phetchabun,Phrae,Prachinburi,Pathum Thani,Pattani,Phayao,Ratchaburi,Roi Et,Ranong,Rayong,Sing Buri,Songkhla,Samut Songkhram,Samut Sakhon,Sa Kaeo,Surat Thani,Sakon Nakhon,Suphan Buri,Samut Prakan,Saraburi,Surin,Sisaket,Sukhothai,Satun,Tak,Trang,Trat,Ubon Ratchathani,Udon Thani,Uttaradit,Uthai Thani,Yala,Yasothon
Chaiyaphum,0,1,8,167,1,14,17,2,10,1,0,0,1,0,1,208,0,0,2,6,1,0,12,0,21,1,1,16,2,9,230,1,7,1,7,0,5,4,1,3,0,0,5,0,22,0,2,31,0,4,1,5,0,1,0,0,2,0,3,1,1,0,8,8,2,7,1,0,1,0,2,6,14,1,1,0,2
Chumphon,0,0,16,140,0,0,9,0,7,0,0,0,3,3,5,2,0,1,0,0,0,0,0,0,1,0,0,8,1,0,4,0,9,8,1,0,0,15,1,77,5,0,2,6,1,0,1,12,4,1,2,0,21,1,0,10,6,0,0,72,0,1,3,0,0,0,0,1,1,17,2,1,1,0,0,1,0
Chiang Rai,1,6,21,1118,0,2,95,8,1965,3,4,2,0,12,13,31,5,9,1,9,177,37,6,1,8,19,42,75,1,9,18,0,26,4,28,0,6,22,7,25,20,1,76,5,21,109,2,89,1,655,15,1,1,21,3,13,3,9,2,16,2,10,165,5,9,1,15,1,9,5,8,7,14,26,0,1,0
Chanthaburi,0,1,39,1025,0,18,348,72,27,4,3,1,9,0,1,15,5,11,0,2,2,2,10,1,15,1,1,67,0,1,58,1,42,2,4,0,14,25,0,15,3,0,6,1,10,2,24,95,0,1,25,5,0,498,2,3,7,6,55,3,2,9,105,15,5,4,1,0,5,1,186,13,6,2,1,0,2
Krabi,0,2,21,485,1,1,25,3,114,0,0,9,16,5,0,5,1,7,0,0,2,1,1,0,1,3,1,13,0,1,6,0,14,22,2,7,0,3,0,13,578,20,5,151,25,1,0,10,5,1,9,0,5,3,1,181,2,0,0,144,1,2,33,2,0,1,0,28,1,89,2,5,1,0,0,2,0
Khon Kaen,6,2,34,1034,10,94,127,14,84,0,182,0,24,21,5,0,2,23,302,190,12,6,14,36,1579,1,3,82,51,197,650,41,45,2,9,0,24,13,1,32,9,1,34,6,84,3,19,131,1,7,6,273,0,52,5,3,8,7,1,10,101,12,110,34,34,60,5,0,3,1,15,209,760,6,1,1,24
Kamphaeng Phet,0,1,21,166,0,2,19,3,106,9,1,0,12,3,0,2,0,2,0,2,71,7,2,0,3,1,3,15,0,0,7,0,14,1,129,0,0,6,9,7,1,0,114,0,6,7,1,34,1,8,2,0,0,11,19,1,0,1,1,0,1,6,9,7,0,0,38,0,97,0,0,0,0,4,8,0,0
Kanchanaburi,1,4,65,1926,0,6,138,18,47,5,5,0,12,14,6,18,6,0,2,8,4,0,17,5,14,1,4,165,0,3,55,0,469,1,12,0,15,106,4,63,10,1,19,0,8,5,3,175,0,2,339,9,2,14,3,5,37,26,0,15,2,119,114,12,5,0,7,0,4,0,5,2,7,2,4,0,1
Kalasin,1,0,7,67,3,4,14,1,6,0,3,0,0,3,1,312,0,0,0,5,0,0,2,13,617,0,2,3,1,6,30,14,0,0,0,0,3,1,0,1,0,0,3,0,6,1,0,5,0,0,1,97,0,4,0,0,1,1,0,1,29,0,6,2,2,2,0,0,0,1,0,11,36,1,0,0,7
Loei Province,2,0,7,260,3,1,32,1,16,1,14,0,8,5,1,206,0,5,5,0,8,2,4,3,46,0,4,19,25,50,33,4,8,1,5,0,7,5,2,3,6,2,57,1,90,3,6,19,0,5,1,16,0,6,1,6,2,0,0,3,19,4,14,5,6,3,2,0,1,0,4,3,104,4,1,0,2
Lampang,0,3,19,469,0,7,54,3,1532,4,2,0,190,6,1,8,69,9,0,7,0,241,9,0,5,5,21,34,1,5,10,0,15,0,56,0,0,12,5,17,1,2,40,1,10,178,5,66,0,152,6,0,0,10,9,3,2,2,0,2,2,8,51,7,0,3,42,0,115,1,0,4,4,30,0,2,0
Lamphun,0,0,3,58,0,1,11,2,1694,0,2,0,37,2,1,9,6,3,0,1,187,0,0,1,1,4,1,2,0,1,0,0,3,2,7,0,1,0,0,1,0,0,9,0,2,16,1,3,0,8,2,0,0,0,0,2,1,1,0,2,0,1,2,1,0,0,5,1,13,1,1,1,3,7,3,0,0
Lopburi Province,0,18,140,643,0,3,51,9,22,19,15,0,5,7,5,8,5,13,1,5,3,1,0,0,5,1,1,77,0,1,65,1,21,1,34,0,15,15,11,7,0,0,10,0,49,1,1,122,0,1,5,2,0,6,77,2,6,5,3,4,0,18,50,200,0,2,9,0,3,0,4,3,3,4,6,0,0
Mukdahan,11,1,2,41,0,4,8,0,5,0,1,0,0,1,0,41,1,4,19,4,0,0,1,0,33,1,0,4,0,4,12,63,2,0,0,0,0,2,0,0,0,0,1,0,2,0,0,2,0,0,0,16,0,2,0,0,0,2,0,0,18,0,5,0,1,6,0,0,0,0,2,61,3,0,0,0,14
Maha Sarakham,4,1,20,321,2,110,55,4,26,0,26,1,2,16,1,1598,2,6,650,37,2,2,6,34,0,1,1,17,14,71,224,37,6,1,3,0,2,26,2,17,2,0,5,2,24,1,7,47,0,0,2,614,0,29,2,4,6,4,5,1,34,6,30,16,25,32,5,0,0,0,1,112,122,1,0,1,51
Mae Hong Son,0,0,2,118,0,0,11,0,297,0,0,0,28,1,12,2,2,4,1,0,5,5,1,0,3,0,1,2,0,0,2,0,5,0,0,0,1,5,0,3,2,0,2,1,6,3,0,5,0,4,2,0,0,2,0,1,2,3,0,6,1,2,4,0,0,0,2,0,6,0,2,0,1,4,0,1,0
Nan,0,0,4,266,0,1,14,2,82,1,0,0,39,3,0,4,3,5,0,4,26,3,2,0,4,2,0,11,1,0,8,1,5,0,12,0,3,4,2,1,0,0,27,1,8,95,1,12,1,26,3,1,0,4,2,2,3,2,0,2,1,5,9,1,0,0,3,0,2,1,1,1,1,18,0,0,0
Nonthaburi,3,51,471,25283,3,32,611,157,170,23,11,12,53,82,11,69,12,187,4,15,33,5,66,3,20,2,7,0,3,6,246,3,1051,14,58,0,119,263,20,200,29,1,54,7,48,17,31,3567,4,7,174,9,2,112,39,25,87,164,10,19,5,273,1037,133,10,10,8,6,13,9,31,34,29,8,10,3,7
Nong Bua Lam Phu,0,0,1,13,0,0,2,0,1,0,1,0,1,0,0,58,0,2,1,27,0,0,2,0,13,0,0,3,0,17,7,2,0,0,0,0,0,1,0,0,0,0,1,0,2,0,1,3,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,136,1,0,0,1
Nong Khai,0,0,7,122,60,5,17,3,16,0,8,0,7,0,1,239,2,2,6,44,5,0,1,4,59,0,0,7,18,0,46,9,7,1,2,0,2,5,0,5,3,0,3,0,9,2,2,25,0,4,2,9,1,3,0,0,0,0,0,1,28,2,13,1,3,1,0,0,0,0,0,4,1238,1,0,0,1
Nakhon Ratchasima,4,11,279,2741,4,410,385,70,78,6,235,2,18,65,3,638,13,53,29,34,13,2,51,15,221,1,7,245,4,44,0,22,90,3,19,2,185,65,4,63,15,0,22,4,47,5,135,534,0,1,41,87,0,85,14,6,19,24,13,11,13,28,200,481,87,40,4,0,6,2,28,106,88,6,7,0,16
Nakhon Phanom,1,0,3,131,14,0,17,2,5,0,3,1,3,4,1,53,0,1,19,0,2,0,0,74,35,2,0,8,2,9,18,0,6,0,1,0,0,4,1,1,0,0,2,0,1,1,0,14,0,0,0,10,2,5,0,0,0,2,2,0,131,0,4,2,0,3,1,0,1,0,0,26,22,0,0,0,1
