,Amnat Charoen,Ang Thong,Phra Nakhon Si Ayutthaya,Bangkok,Bueng Kan,Buriram,Chonburi,Chachoengsao,Chiang Mai,Chai Nat,Chaiyaphum,Chumphon,Chiang Rai,Chanthaburi,Krabi,Khon Kaen,Kamphaeng Phet,Kanchanaburi,Kalasin,Loei Province,Lampang,Lamphun,Lopburi Province,Mukdahan,Maha Sarakham,Mae Hong Son,Nan,Nonthaburi,Nong Bua Lam Phu,Nong Khai,Nakhon Ratchasima,Nakhon Phanom,Nakhon Pathom,Nakhon Si Thammarat,Nakhon Sawan,Narathiwat,Nakhon Nayok,Phetchaburi,Phichit,Prachuap Khiri Khan,Phuket,Phatthalung,Phitsanulok,Phang Nga,Phetchabun,Phrae,Prachinburi,Pathum Thani,Pattani,Phayao,Ratchaburi,Roi Et,Ranong,Rayong,Sing Buri,Songkhla,Samut Songkhram,Samut Sakhon,Sa Kaeo,Surat Thani,Sakon Nakhon,Suphan Buri,Samut Prakan,Saraburi,Surin,Sisaket,Sukhothai,Satun,Tak,Trang,Trat,Ubon Ratchathani,Udon Thani,Uttaradit,Uthai Thani,Yala,Yasothon
Lamphun,0,0,3,55,0,1,9,1,1654,0,2,0,34,2,1,8,6,3,0,1,181,0,0,1,1,3,1,2,0,1,0,0,3,1,7,0,0,0,0,1,0,0,9,0,2,16,1,3,0,7,1,0,0,0,0,1,1,1,0,1,0,1,2,1,0,0,5,1,13,1,1,1,3,6,3,0,0
Lopburi Province,0,17,135,602,0,3,41,7,21,18,13,0,4,7,3,8,5,10,1,5,2,1,0,0,5,1,1,68,0,1,60,1,19,1,33,0,12,14,11,5,0,0,10,0,46,1,1,118,0,1,5,1,0,6,73,2,6,5,3,3,0,16,47,191,0,2,9,0,3,0,3,3,3,4,5,0,0
Mukdahan,10,0,2,36,0,3,7,0,4,0,1,0,0,0,0,37,1,3,18,4,0,0,1,0,29,1,0,3,0,4,9,58,2,0,0,0,0,1,0,0,0,0,1,0,2,0,0,2,0,0,0,16,0,1,0,0,0,2,0,0,17,0,4,0,1,6,0,0,0,0,1,58,3,0,0,0,13
Maha Sarakham,4,0,16,252,1,81,29,4,22,0,21,1,2,9,1,1287,0,6,578,28,2,1,5,27,0,1,1,13,10,51,184,32,5,1,2,0,1,22,1,14,2,0,4,0,17,0,4,39,0,0,2,529,0,13,0,4,5,2,2,1,28,5,20,10,18,25,4,0,0,0,0,83,100,0,0,1,42
Mae Hong Son,0,0,2,108,0,0,11,0,286,0,0,0,26,1,9,2,2,3,1,0,4,5,1,0,2,0,1,2,0,0,2,0,5,0,0,0,0,3,0,2,2,0,1,1,6,3,0,5,0,4,2,0,0,2,0,1,2,3,0,5,1,1,4,0,0,0,2,0,5,0,2,0,0,3,0,1,0
Nan,0,0,3,224,0,1,12,1,72,1,0,0,37,2,0,4,3,3,0,4,23,2,2,0,4,1,0,10,1,0,5,1,5,0,11,0,3,4,2,1,0,0,23,1,6,89,1,11,0,25,3,1,0,3,2,2,3,1,0,1,1,4,9,1,0,0,3,0,1,0,1,1,1,18,0,0,0
Nonthaburi,3,49,447,24477,3,27,548,149,149,20,10,9,48,75,7,60,12,177,4,14,29,2,60,3,18,2,7,0,3,6,226,2,1023,9,53,0,112,241,17,169,24,1,47,4,42,16,28,3484,2,5,163,8,1,95,39,23,83,155,10,14,5,263,995,127,10,7,8,5,12,9,28,29,24,8,10,3,6
Nong Bua Lam Phu,0,0,1,11,0,0,1,0,0,0,1,0,0,0,0,55,0,2,1,26,0,0,2,0,11,0,0,3,0,17,6,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,3,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,131,1,0,0,1
Nong Khai,0,0,5,103,51,3,14,3,9,0,8,0,6,0,1,191,1,2,6,41,3,0,1,4,49,0,0,5,18,0,37,7,5,1,2,0,2,5,0,4,3,0,3,0,9,2,1,19,0,4,2,8,1,1,0,0,0,0,0,0,26,0,13,1,1,1,0,0,0,0,0,4,1033,1,0,0,0
Nakhon Ratchasima,4,11,231,2406,3,351,295,59,64,4,192,1,15,35,3,558,11,42,25,29,11,2,42,11,197,0,7,212,3,38,0,19,88,0,16,2,174,52,3,39,12,0,19,3,36,4,114,460,0,1,29,79,0,56,10,4,13,21,9,7,13,25,174,430,77,36,2,0,5,1,19,88,72,4,5,0,14
Nakhon Phanom,1,0,3,107,13,0,12,2,5,0,3,1,2,4,0,42,0,1,18,0,2,0,0,70,29,2,0,6,2,9,15,0,6,0,1,0,0,3,1,1,0,0,2,0,1,0,0,13,0,0,0,10,2,3,0,0,0,2,1,0,122,0,2,2,0,3,1,0,1,0,0,23,22,0,0,0,1
Nakhon Pathom,0,20,172,8611,0,12,258,44,53,8,3,8,12,42,10,42,9,469,1,5,8,4,29,2,6,5,5,1034,0,4,84,3,0,2,31,0,55,323,2,172,6,2,18,2,16,6,8,434,1,3,988,4,3,47,17,11,115,458,0,7,2,200,385,40,4,3,5,2,6,1,7,9,12,6,12,0,1
Nakhon Si Thammarat,0,0,3,190,0,1,8,3,6,0,0,12,5,0,28,4,0,2,0,1,1,0,1,0,1,0,0,13,0,0,5,1,5,0,0,2,1,10,0,15,24,29,1,10,3,0,0,10,6,0,0,0,3,0,0,96,1,1,1,98,0,2,24,2,0,0,0,6,0,22,1,1,1,1,0,2,0
Nakhon Sawan,0,19,110,614,0,0,59,9,98,121,5,1,26,6,4,6,134,12,0,2,61,6,28,0,1,0,9,53,0,0,18,1,33,0,0,0,10,18,163,15,1,0,142,0,31,14,1,128,1,11,8,2,0,16,87,1,5,2,1,0,0,27,55,20,1,0,18,0,38,0,1,2,0,14,128,0,0
Narathiwat,0,0,2,37,0,2,1,0,2,0,0,0,1,0,6,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,5,1,0,1,0,0,2,2,2,0,0,1,0,0,1,27,0,0,0,0,1,0,49,0,0,0,2,0,0,4,0,0,0,0,3,1,3,0,0,0,0,0,18,0
Nakhon Nayok,0,1,66,1549,0,5,64,41,21,0,1,1,6,8,1,27,1,13,2,3,1,0,15,0,4,0,4,110,0,0,190,1,37,1,13,0,0,17,3,16,3,0,4,0,2,2,114,505,0,0,14,3,1,34,2,3,10,14,13,5,1,4,119,73,4,2,1,0,1,0,5,5,2,0,0,0,0
Phetchaburi,1,2,60,2967,0,6,125,26,45,6,4,15,15,25,9,14,8,79,0,1,13,2,9,1,27,3,1,215,0,2,47,1,312,6,28,1,21,0,5,2587,3,1,12,2,6,5,5,228,0,4,536,5,3,20,3,7,284,163,6,12,3,33,201,19,2,2,3,7,9,3,17,11,4,2,0,0,0
Phichit,0,1,17,115,0,0,9,4,14,10,1,1,13,0,1,3,6,1,0,2,4,0,4,0,1,0,4,21,0,0,8,2,3,0,166,0,0,4,0,3,0,0,195,0,26,5,0,22,0,5,0,0,0,2,13,0,0,1,1,1,0,1,5,2,0,0,7,0,2,0,0,1,0,12,2,0,1
Prachuap Khiri Khan,0,5,65,2298,0,3,86,16,52,1,1,83,21,6,5,22,3,47,1,2,10,2,4,1,16,0,4,169,1,2,49,1,194,16,16,0,18,2507,3,0,14,4,10,7,14,7,3,170,1,3,190,6,9,17,3,19,125,64,2,35,2,29,173,12,2,2,3,2,7,1,4,9,7,5,3,1,1
Phuket,0,0,19,621,0,1,34,0,55,0,0,5,13,3,650,4,0,7,0,5,2,1,1,0,1,1,1,27,1,2,12,0,9,21,4,0,2,5,0,17,0,1,6,575,38,0,1,17,1,1,4,0,6,5,0,66,1,4,0,97,3,5,96,4,1,1,0,3,0,14,4,4,9,0,1,3,0
Phatthalung,0,0,2,24,0,0,2,0,2,0,0,5,1,0,23,0,0,0,0,1,1,0,0,0,2,0,1,1,0,0,0,0,0,27,0,0,0,1,0,4,5,0,0,0,1,0,0,2,5,0,3,0,0,0,0,147,0,1,0,6,1,0,0,0,0,0,0,2,0,47,0,0,0,0,0,2,0
Phitsanulok,0,4,33,451,0,3,43,7,86,19,8,0,57,3,0,24,105,8,0,56,37,11,9,1,5,1,18,34,0,1,24,2,26,0,156,0,1,7,198,12,8,0,0,0,187,75,1,47,0,27,2,0,0,7,14,2,1,4,2,0,2,10,23,3,0,1,180,0,42,0,3,5,10,130,4,0,1
Phang Nga,0,0,9,99,0,1,5,0,13,0,1,9,6,1,145,4,0,2,0,2,0,0,0,0,0,0,0,13,0,0,2,1,2,7,0,0,0,1,0,4,522,2,0,0,7,0,2,7,1,1,4,0,5,0,0,16,4,2,0,46,0,0,9,1,0,2,0,5,0,7,0,0,1,0,1,1,0
Phetchabun,1,3,35,504,0,6,68,7,51,1,22,2,14,4,19,89,7,4,4,102,10,1,35,0,24,1,5,36,4,6,45,3,16,0,38,0,3,11,21,10,25,1,183,5,0,8,6,56,0,6,9,4,1,12,4,5,3,5,4,14,2,6,38,25,3,1,8,4,3,2,7,6,20,11,3,0,1
Phrae,0,1,12,110,0,2,9,0,212,1,0,0,82,0,3,2,5,3,0,3,146,13,1,0,1,1,95,15,0,2,5,0,8,1,25,0,2,6,6,7,0,0,91,0,13,0,0,23,0,58,1,1,0,4,3,0,0,3,1,0,0,2,6,0,0,1,13,0,5,1,0,0,2,114,0,0,0
Prachinburi,0,0,21,390,0,10,117,74,9,0,2,1,4,18,0,12,1,3,1,5,2,0,3,2,11,0,2,31,0,3,161,0,11,0,1,0,100,4,1,5,1,0,1,2,4,0,0,55,0,0,3,2,0,33,1,1,3,2,52,2,2,3,39,14,2,3,0,0,0,0,1,5,4,0,1,0,0
Pathum Thani,0,74,1837,20628,2,28,785,179,153,34,19,3,56,69,8,96,18,142,9,15,38,2,126,8,32,7,11,3494,3,24,478,6,495,4,125,3,582,237,17,126,15,0,38,5,49,16,58,0,1,11,115,10,4,158,68,10,80,124,20,13,7,118,1012,255,15,27,11,3,16,2,20,49,30,12,13,1,7
Pattani,0,0,0,40,0,0,0,0,3,0,0,3,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,1,33,0,2,0,0,0,3,0,2,0,0,0,2,0,0,0,0,0,0,0,120,0,0,0,2,0,0,2,0,0,0,0,7,0,3,0,0,0,0,0,54,0
Phayao,0,0,4,68,0,1,13,0,188,0,0,1,605,1,0,6,8,0,0,4,118,5,1,0,3,2,27,5,1,1,4,0,4,0,10,0,1,1,2,5,0,0,23,1,8,70,0,11,0,0,1,1,0,2,2,0,0,1,0,0,0,1,7,1,0,0,8,0,2,1,0,1,0,11,0,0,0
Ratchaburi,1,4,34,1979,0,2,85,16,43,4,1,1,12,25,8,8,1,375,0,1,7,2,2,0,2,0,3,159,0,2,28,0,928,3,4,0,23,474,1,183,10,2,4,5,8,2,5,136,0,5,0,0,1,13,3,2,521,107,1,6,1,34,97,7,4,1,2,2,5,2,2,3,6,0,2,0,0
Roi Et,2,1,4,166,4,17,18,2,7,0,3,1,4,3,0,253,0,8,85,6,0,0,2,16,554,1,0,6,3,8,63,5,6,0,1,0,4,3,0,5,0,0,0,0,4,2,2,12,0,0,2,0,0,6,0,1,0,2,3,0,6,1,12,5,25,12,1,0,0,0,1,63,14,0,0,0,43
Ranong,0,0,3,44,0,0,2,0,0,0,0,21,0,1,4,0,0,1,0,0,0,0,0,0,0,0,1,3,0,1,0,2,1,1,0,0,1,3,0,4,7,1,0,7,1,0,0,4,0,0,1,0,0,0,0,2,0,1,0,7,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0
Rayong,1,4,54,1633,0,5,1063,137,54,8,5,0,17,357,3,43,7,22,6,9,9,3,10,0,21,4,3,109,2,3,66,1,35,1,17,2,23,14,1,19,4,0,14,1,8,2,39,165,0,3,21,5,0,0,4,7,7,15,10,7,1,6,170,14,6,7,1,0,2,0,67,17,15,9,2,0,1
