,Amnat Charoen,Ang Thong,Phra Nakhon Si Ayutthaya,Bangkok,Bueng Kan,Buriram,Chonburi,Chachoengsao,Chiang Mai,Chai Nat,Chaiyaphum,Chumphon,Chiang Rai,Chanthaburi,Krabi,Khon Kaen,Kamphaeng Phet,Kanchanaburi,Kalasin,Loei Province,Lampang,Lamphun,Lopburi Province,Mukdahan,Maha Sarakham,Mae Hong Son,Nan,Nonthaburi,Nong Bua Lam Phu,Nong Khai,Nakhon Ratchasima,Nakhon Phanom,Nakhon Pathom,Nakhon Si Thammarat,Nakhon Sawan,Narathiwat,Nakhon Nayok,Phetchaburi,Phichit,Prachuap Khiri Khan,Phuket,Phatthalung,Phitsanulok,Phang Nga,Phetchabun,Phrae,Prachinburi,Pathum Thani,Pattani,Phayao,Ratchaburi,Roi Et,Ranong,Rayong,Sing Buri,Songkhla,Samut Songkhram,Samut Sakhon,Sa Kaeo,Surat Thani,Sakon Nakhon,Suphan Buri,Samut Prakan,Saraburi,Surin,Sisaket,Sukhothai,Satun,Tak,Trang,Trat,Ubon Ratchathani,Udon Thani,Uttaradit,Uthai Thani,Yala,Yasothon
Sakon Nakhon,1,0,0,16,7,0,1,0,0,0,0,0,1,0,0,15,0,0,15,8,0,0,0,5,12,1,0,1,2,2,4,38,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2,1,0,1,0,0,0,0,0,1,36,0,0,0,4
Suphan Buri,0,59,69,149,0,0,4,2,4,25,0,0,2,1,0,1,3,47,0,1,3,0,6,0,1,1,0,145,0,0,6,0,73,0,14,0,2,11,0,5,0,0,6,0,3,1,0,41,0,0,13,0,0,3,11,0,2,8,0,0,0,0,15,6,0,0,0,0,1,0,0,0,0,2,10,0,0
Samut Prakan,0,4,105,11178,0,5,447,244,53,15,1,0,22,21,5,36,2,14,1,1,7,1,13,0,2,1,1,429,0,3,31,0,117,11,14,0,38,54,0,36,28,0,2,2,10,1,11,399,0,0,30,2,0,51,5,20,33,92,7,10,0,15,0,45,2,3,4,0,2,0,1,14,12,1,2,0,0
Saraburi,0,9,247,283,0,6,11,12,1,3,6,0,0,2,0,7,3,2,0,2,2,0,98,0,1,0,0,43,0,1,202,1,8,2,8,0,44,7,2,0,0,0,2,0,14,0,7,122,0,0,2,1,0,4,5,0,4,4,1,0,0,2,22,0,2,1,0,1,1,0,1,0,1,0,1,0,0
Surin,0,0,5,17,0,58,6,0,1,1,2,0,6,1,0,5,0,0,0,0,0,0,0,1,2,0,0,1,0,1,31,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,3,0,0,0,8,0,0,0,0,0,0,2,1,0,0,4,3,0,24,0,0,0,0,0,9,1,0,0,0,1
Sisaket,1,0,2,27,1,16,2,3,6,0,2,0,0,1,1,2,0,0,2,1,0,0,0,3,6,0,0,1,0,0,14,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,10,0,0,0,6,0,3,0,0,0,0,2,0,0,0,3,2,43,0,0,0,0,0,0,166,0,0,0,0,11
Sukhothai,0,2,7,18,1,1,0,0,8,2,1,0,3,1,0,1,16,2,0,0,22,1,3,0,1,2,1,3,1,0,1,0,3,0,14,0,0,0,1,0,0,0,93,0,3,8,0,3,0,3,1,1,0,0,6,0,0,0,0,0,0,1,4,0,0,0,0,0,14,0,0,0,0,14,1,0,0
Satun,0,0,1,19,0,0,4,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,1,0,0,0,3,0,4,3,0,0,1,2,0,1,0,0,0,0,79,1,0,0,3,0,0,2,1,0,0,0,0,1,5,1,0,0,0,0,1,0
Tak,0,1,6,28,0,1,1,0,20,2,0,0,2,2,0,1,63,0,0,1,47,10,1,0,0,2,1,2,0,0,0,0,1,0,26,0,0,1,0,1,0,0,12,0,2,3,0,7,0,1,1,0,0,0,12,0,0,0,0,0,2,5,2,2,1,0,14,0,0,0,0,2,1,0,1,0,0
Trang,0,0,21,31,0,0,0,0,2,0,0,14,2,0,41,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,13,0,1,0,2,0,2,4,23,0,4,0,0,0,1,1,0,0,0,0,0,0,25,0,0,0,4,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0
Trat,0,0,0,67,0,0,30,19,5,0,0,0,1,114,0,1,0,1,0,1,0,0,1,0,0,0,0,7,0,0,2,0,3,0,0,0,1,4,0,1,1,0,0,0,1,0,0,2,0,0,0,0,0,40,0,1,0,0,7,0,0,0,12,2,0,1,0,0,0,0,0,1,1,0,0,0,0
Ubon Ratchathani,27,0,8,175,0,23,4,1,5,0,0,1,1,1,3,13,0,0,0,1,1,0,0,24,19,0,0,1,0,1,34,7,1,0,0,0,1,2,0,0,0,0,3,0,0,0,3,7,0,0,1,30,0,1,0,2,0,0,1,0,1,0,35,5,20,165,0,0,1,1,1,0,1,0,1,0,44
Udon Thani,0,0,1,112,8,1,3,0,8,1,11,0,0,0,0,205,0,1,12,25,1,1,2,0,22,0,1,2,48,281,29,7,5,0,0,0,0,3,0,2,1,0,7,0,8,2,0,5,0,0,2,1,0,3,0,2,0,0,0,1,32,0,26,1,0,0,0,0,0,0,0,5,0,1,0,0,0
Uttaradit,0,2,6,10,0,1,2,0,7,0,0,0,0,0,0,2,2,1,0,2,18,5,4,0,0,0,5,3,0,1,0,0,1,0,7,0,0,0,9,0,0,0,67,0,6,70,0,2,0,5,0,0,0,3,11,0,1,0,0,0,0,1,1,1,0,0,13,1,2,0,0,1,1,0,0,0,0
Uthai Thani,0,5,15,12,0,0,2,0,0,31,1,0,0,0,0,0,2,1,0,0,0,2,2,0,0,0,0,3,0,0,1,0,1,0,46,0,0,0,0,0,0,0,1,0,1,0,0,4,0,0,2,0,0,2,17,0,1,1,0,0,0,12,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0
Yala,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,9,0,0,0,1,1,1,0,0,0,0,0,0,24,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Yasothon,12,0,1,4,0,2,0,0,0,0,1,0,0,0,0,5,0,1,1,0,0,0,0,7,10,0,0,1,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,21,1,0,0,0,0
