,Amnat Charoen,Ang Thong,Phra Nakhon Si Ayutthaya,Bangkok,Bueng Kan,Buriram,Chonburi,Chachoengsao,Chiang Mai,Chai Nat,Chaiyaphum,Chumphon,Chiang Rai,Chanthaburi,Krabi,Khon Kaen,Kamphaeng Phet,Kanchanaburi,Kalasin,Loei Province,Lampang,Lamphun,Lopburi Province,Mukdahan,Maha Sarakham,Mae Hong Son,Nan,Nonthaburi,Nong Bua Lam Phu,Nong Khai,Nakhon Ratchasima,Nakhon Phanom,Nakhon Pathom,Nakhon Si Thammarat,Nakhon Sawan,Narathiwat,Nakhon Nayok,Phetchaburi,Phichit,Prachuap Khiri Khan,Phuket,Phatthalung,Phitsanulok,Phang Nga,Phetchabun,Phrae,Prachinburi,Pathum Thani,Pattani,Phayao,Ratchaburi,Roi Et,Ranong,Rayong,Sing Buri,Songkhla,Samut Songkhram,Samut Sakhon,Sa Kaeo,Surat Thani,Sakon Nakhon,Suphan Buri,Samut Prakan,Saraburi,Surin,Sisaket,Sukhothai,Satun,Tak,Trang,Trat,Ubon Ratchathani,Udon Thani,Uttaradit,Uthai Thani,Yala,Yasothon
Phuket,0,0,22,1042,2,1,56,2,133,0,0,8,34,8,706,24,2,16,0,8,3,0,0,0,3,2,0,46,0,3,21,0,20,45,2,3,5,9,3,35,0,11,13,671,30,1,1,45,3,1,16,1,7,5,0,107,3,5,0,180,1,2,210,4,2,0,3,4,1,26,7,9,20,3,1,3,0
Phatthalung,0,0,6,68,0,1,4,0,5,0,0,2,1,0,28,2,0,2,0,2,2,0,0,0,0,0,0,3,0,0,0,0,4,46,0,3,1,1,0,5,6,0,0,4,1,1,0,2,4,0,2,0,3,0,0,208,0,1,0,16,0,0,3,1,0,0,0,5,0,60,0,0,1,0,0,6,0
Phitsanulok,0,6,53,514,0,6,57,4,153,14,5,2,77,6,5,34,118,20,3,57,41,9,10,2,5,2,28,54,1,4,23,2,20,1,157,0,4,13,206,12,8,0,0,0,198,97,1,44,0,31,5,1,0,15,21,3,4,2,4,1,1,15,31,5,0,1,185,1,47,1,3,6,10,163,12,0,2
Phang Nga,0,0,8,148,0,1,15,1,19,0,0,10,7,1,187,6,0,2,0,1,1,0,1,0,2,1,3,8,0,0,5,0,4,13,0,0,0,6,0,10,742,1,2,0,6,0,4,11,2,1,7,0,14,2,0,21,3,3,0,48,0,1,15,2,1,0,0,8,2,14,1,2,3,0,0,0,0
Phetchabun,0,0,37,535,0,5,74,14,73,1,22,1,21,10,26,85,7,8,6,92,10,2,49,2,24,6,8,49,2,9,48,1,19,5,38,2,2,7,27,15,49,1,210,9,0,14,6,55,1,11,12,5,1,8,4,10,3,4,8,18,2,10,38,37,2,3,14,3,5,5,6,8,20,18,2,0,3
Phrae,0,2,10,180,0,2,12,2,302,5,0,0,114,2,1,3,7,5,1,3,178,16,1,1,1,3,96,18,0,2,6,1,10,0,17,0,2,7,5,7,1,1,90,0,9,0,0,20,0,75,2,2,0,2,5,0,1,0,1,1,0,0,10,1,1,0,17,0,10,0,1,1,1,103,1,0,0
Prachinburi,0,2,23,447,0,11,122,97,6,1,2,2,2,24,0,20,1,3,0,7,5,1,1,0,8,0,1,31,1,2,136,0,10,0,1,0,115,7,0,3,1,0,1,3,6,0,0,68,0,0,5,2,0,41,1,2,2,9,54,3,1,2,39,18,4,0,0,0,2,0,5,7,2,0,2,0,0
Pathum Thani,2,89,1953,21764,5,44,852,153,208,50,32,15,97,96,15,133,34,179,5,19,69,3,125,2,52,5,13,3607,3,27,549,14,467,15,144,2,538,256,24,191,26,3,59,10,60,29,66,0,2,13,160,13,6,188,72,37,86,90,23,25,9,137,1075,308,20,25,16,6,17,9,24,62,40,11,29,0,3
Pattani,0,0,0,54,0,0,3,0,7,0,0,4,2,0,6,1,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,7,1,34,0,0,0,3,5,6,0,2,0,0,0,2,0,1,0,0,0,0,0,174,0,1,0,5,0,0,3,1,0,0,0,2,1,5,0,0,0,0,0,67,0
Phayao,0,3,9,106,0,1,16,3,259,3,4,1,667,3,1,9,9,2,0,5,155,8,1,0,0,4,26,7,0,4,1,0,5,0,14,0,1,5,5,3,2,0,28,1,7,66,1,12,1,0,5,1,0,5,2,1,0,0,0,0,0,2,3,4,0,0,21,1,10,1,1,1,3,21,0,0,0
Ratchaburi,1,5,53,2191,0,3,118,21,56,6,1,2,15,25,10,6,2,340,1,2,6,2,5,1,2,2,3,175,0,2,42,0,1059,0,10,0,18,579,1,209,4,3,2,4,9,1,4,126,1,2,0,3,1,23,5,5,577,159,0,7,2,42,94,13,3,4,2,0,2,2,5,3,7,0,1,0,0
Roi Et,7,0,5,202,1,19,28,3,9,0,5,0,1,5,0,281,0,10,98,17,0,0,2,16,625,0,1,11,1,9,89,10,5,0,2,0,4,5,0,7,0,0,1,0,4,1,2,14,0,1,0,0,0,6,0,2,3,1,5,1,9,2,7,3,18,21,0,0,0,0,2,64,19,0,0,0,50
Ranong,0,0,2,77,0,0,5,0,5,0,0,26,1,1,5,1,0,2,0,0,0,0,0,0,0,0,0,4,0,1,1,2,4,5,0,0,2,3,0,9,9,0,1,10,1,0,0,7,1,0,1,0,0,2,0,7,1,3,1,7,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Rayong,0,3,52,1755,0,14,1183,224,86,8,1,1,23,501,4,57,12,14,5,7,14,0,8,2,30,2,4,112,1,4,86,5,59,1,21,1,39,28,2,22,8,0,11,0,16,4,37,188,0,4,19,8,1,0,2,6,7,13,14,7,0,14,165,16,11,14,1,2,4,2,79,14,17,5,2,0,2
