,Amnat Charoen,Ang Thong,Phra Nakhon Si Ayutthaya,Bangkok,Bueng Kan,Buriram,Chonburi,Chachoengsao,Chiang Mai,Chai Nat,Chaiyaphum,Chumphon,Chiang Rai,Chanthaburi,Krabi,Khon Kaen,Kamphaeng Phet,Kanchanaburi,Kalasin,Loei Province,Lampang,Lamphun,Lopburi Province,Mukdahan,Maha Sarakham,Mae Hong Son,Nan,Nonthaburi,Nong Bua Lam Phu,Nong Khai,Nakhon Ratchasima,Nakhon Phanom,Nakhon Pathom,Nakhon Si Thammarat,Nakhon Sawan,Narathiwat,Nakhon Nayok,Phetchaburi,Phichit,Prachuap Khiri Khan,Phuket,Phatthalung,Phitsanulok,Phang Nga,Phetchabun,Phrae,Prachinburi,Pathum Thani,Pattani,Phayao,Ratchaburi,Roi Et,Ranong,Rayong,Sing Buri,Songkhla,Samut Songkhram,Samut Sakhon,Sa Kaeo,Surat Thani,Sakon Nakhon,Suphan Buri,Samut Prakan,Saraburi,Surin,Sisaket,Sukhothai,Satun,Tak,Trang,Trat,Ubon Ratchathani,Udon Thani,Uttaradit,Uthai Thani,Yala,Yasothon
Narathiwat,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Nakhon Nayok,0,1,25,127,0,2,6,13,2,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,10,0,0,71,0,8,0,0,0,0,2,0,1,1,0,1,0,0,0,49,216,0,0,2,0,0,3,2,0,0,0,2,1,0,0,17,29,0,0,0,0,0,0,0,0,0,0,0,0,0
Phetchaburi,0,1,9,356,0,0,11,6,5,1,1,4,1,2,0,1,0,13,0,0,1,0,0,1,4,1,1,40,0,1,11,0,70,2,5,0,0,0,0,847,0,0,0,0,1,0,1,30,1,0,168,1,1,1,3,0,182,290,0,3,0,9,37,2,0,0,0,0,1,0,5,2,1,0,0,0,0
Phichit,0,1,7,11,0,0,0,0,2,4,0,0,0,0,0,0,2,0,0,1,0,0,5,0,0,0,0,3,0,0,1,0,0,0,52,0,0,1,0,0,0,0,71,0,9,3,0,5,0,1,0,0,0,0,12,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,5,1,0,0
Prachuap Khiri Khan,0,0,5,176,0,1,7,2,3,0,1,25,2,0,1,1,0,3,0,0,1,0,0,0,3,1,0,21,0,1,4,0,28,5,4,0,0,1321,1,0,1,2,1,1,4,0,0,17,0,1,47,0,0,1,1,0,69,150,0,9,1,3,20,2,0,0,0,0,1,1,0,1,0,0,0,0,0
Phuket,0,0,7,100,0,0,3,0,9,0,0,3,1,1,180,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,3,0,0,0,0,0,5,0,3,2,214,10,0,0,0,0,0,3,0,0,1,0,12,0,1,0,21,0,0,78,0,0,0,0,1,0,3,0,0,4,0,0,1,0
Phatthalung,0,0,3,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,34,0,0,0,3,0,0,1,0,0,0,0,1,0,22,0,0,0,0,0,0,0
Phitsanulok,0,2,24,50,0,0,2,0,10,11,0,0,5,0,0,4,10,1,1,21,8,1,3,0,0,0,1,4,1,1,3,2,1,0,59,0,0,2,52,1,0,0,0,0,54,45,0,8,0,6,1,0,0,0,18,0,1,1,0,1,0,2,0,2,0,0,40,0,4,0,0,0,0,75,1,0,1
Phang Nga,0,0,6,17,0,0,0,0,1,0,0,5,0,0,53,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,4,158,0,0,0,1,0,0,3,0,0,1,0,6,0,0,4,0,1,0,14,0,0,3,0,0,0,0,1,0,7,0,0,2,0,0,0,0
Phetchabun,0,0,14,48,0,0,9,1,4,0,6,0,2,1,2,25,0,0,0,20,3,1,34,0,1,1,1,4,0,2,4,0,0,2,4,0,0,1,11,2,6,0,68,2,0,5,0,3,0,2,1,0,0,0,2,1,1,1,1,0,0,3,2,19,0,0,4,0,0,1,0,1,0,9,1,0,2
